Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,outcome
Application_1397856354,A_Create Application,User_52,2016-01-02 13:54:35.336,2016-01-02 13:54:35.336,
Application_1397856354,A_Concept,User_52,2016-01-02 13:54:35.339,2016-01-02 13:54:35.339,
Application_1397856354,W_Complete application,User_15,2016-01-02 13:54:35.348,2016-01-04 10:27:38.384,
Application_980495316,A_Create Application,User_52,2016-01-02 14:03:23.652,2016-01-02 14:03:23.652,
Application_980495316,A_Concept,User_52,2016-01-02 14:03:23.655,2016-01-02 14:03:23.655,
Application_821425679,A_Create Application,User_52,2016-01-02 14:18:32.154,2016-01-02 14:18:32.154,
Application_821425679,A_Concept,User_52,2016-01-02 14:18:32.158,2016-01-02 14:18:32.158,
Application_470922426,A_Create Application,User_52,2016-01-02 15:04:02.686,2016-01-02 15:04:02.686,
Application_470922426,A_Concept,User_52,2016-01-02 15:04:02.792,2016-01-02 15:04:02.792,
Application_470922426,A_Accepted,User_52,2016-01-02 15:07:55.113,2016-01-02 15:07:55.113,
Application_1898882436,A_Create Application,User_1,2016-01-02 17:28:40.753,2016-01-02 17:28:40.753,
Application_1898882436,A_Submitted,User_1,2016-01-02 17:28:40.799,2016-01-02 17:28:40.799,
Application_1898882436,A_Concept,User_1,2016-01-02 17:30:13.438,2016-01-02 17:30:13.438,
Application_1405679737,A_Create Application,User_1,2016-01-03 09:02:41.184,2016-01-03 09:02:41.184,
Application_1405679737,A_Submitted,User_1,2016-01-03 09:02:41.298,2016-01-03 09:02:41.298,
Application_1405679737,A_Concept,User_1,2016-01-03 09:03:54.820,2016-01-03 09:03:54.820,
Application_798605556,A_Create Application,User_1,2016-01-03 15:01:52.706,2016-01-03 15:01:52.706,
Application_798605556,A_Submitted,User_1,2016-01-03 15:01:52.767,2016-01-03 15:01:52.767,
Application_798605556,A_Concept,User_1,2016-01-03 15:03:38.939,2016-01-03 15:03:38.939,
Application_2062932311,A_Create Application,User_1,2016-01-03 15:35:53.926,2016-01-03 15:35:53.926,
Application_2062932311,A_Submitted,User_1,2016-01-03 15:35:53.965,2016-01-03 15:35:53.965,
Application_2062932311,A_Concept,User_1,2016-01-03 15:37:27.497,2016-01-03 15:37:27.497,
Application_178025821,A_Create Application,User_1,2016-01-03 21:06:42.225,2016-01-03 21:06:42.225,
Application_178025821,A_Submitted,User_1,2016-01-03 21:06:42.277,2016-01-03 21:06:42.277,
Application_178025821,A_Concept,User_1,2016-01-03 21:07:47.071,2016-01-03 21:07:47.071,
Application_1754646859,A_Create Application,User_1,2016-01-03 22:23:24.985,2016-01-03 22:23:24.985,
Application_1754646859,A_Submitted,User_1,2016-01-03 22:23:25.020,2016-01-03 22:23:25.020,
Application_1754646859,A_Concept,User_1,2016-01-03 22:24:49.766,2016-01-03 22:24:49.766,
Application_2105878744,A_Create Application,User_1,2016-01-04 08:31:20.774,2016-01-04 08:31:20.774,
Application_2105878744,A_Submitted,User_1,2016-01-04 08:31:20.834,2016-01-04 08:31:20.834,
Application_2105878744,A_Concept,User_1,2016-01-04 08:32:40.776,2016-01-04 08:32:40.776,
Application_803879893,A_Create Application,User_43,2016-01-04 09:49:57.678,2016-01-04 09:49:57.678,
Application_803879893,A_Concept,User_43,2016-01-04 09:49:57.682,2016-01-04 09:49:57.682,
Application_803879893,W_Complete application,User_3,2016-01-04 09:49:57.693,2016-01-05 10:23:19.229,
Application_803879893,A_Accepted,User_43,2016-01-04 09:51:15.807,2016-01-04 09:51:15.807,
Application_1397856354,A_Accepted,User_15,2016-01-04 10:24:30.011,2016-01-04 10:24:30.011,
Application_1397856354,O_Create Offer,User_15,2016-01-04 10:27:15.772,2016-01-04 10:27:15.772,
Application_1397856354,O_Created,User_15,2016-01-04 10:27:17.030,2016-01-04 10:27:17.030,
Application_1397856354,O_Sent (mail and online),User_15,2016-01-04 10:27:38.360,2016-01-04 10:27:38.360,
Application_1397856354,A_Complete,User_15,2016-01-04 10:27:38.400,2016-01-04 10:27:38.400,
Application_821425679,A_Accepted,User_19,2016-01-04 10:35:27.174,2016-01-04 10:35:27.174,
Application_821425679,O_Create Offer,User_19,2016-01-04 10:37:24.634,2016-01-04 10:37:24.634,
Application_821425679,O_Created,User_19,2016-01-04 10:37:26.166,2016-01-04 10:37:26.166,
Application_821425679,O_Sent (mail and online),User_19,2016-01-04 10:38:26.322,2016-01-04 10:38:26.322,
Application_821425679,A_Complete,User_19,2016-01-04 10:38:26.403,2016-01-04 10:38:26.403,
Application_2108937169,A_Create Application,User_19,2016-01-04 10:50:49.366,2016-01-04 10:50:49.366,
Application_2108937169,W_Complete application,User_19,2016-01-04 10:50:49.379,2016-01-04 11:15:24.175,
Application_2108937169,A_Concept,User_19,2016-01-04 10:50:49.382,2016-01-04 10:50:49.382,
Application_2108937169,A_Accepted,User_19,2016-01-04 11:03:13.616,2016-01-04 11:03:13.616,
Application_2108937169,O_Create Offer,User_19,2016-01-04 11:07:38.160,2016-01-04 11:07:38.160,
Application_2108937169,O_Created,User_19,2016-01-04 11:07:39.774,2016-01-04 11:07:39.774,
Application_1290239114,A_Create Application,User_1,2016-01-04 11:10:35.773,2016-01-04 11:10:35.773,
Application_1290239114,A_Submitted,User_1,2016-01-04 11:10:35.855,2016-01-04 11:10:35.855,
Application_1290239114,A_Concept,User_1,2016-01-04 11:13:01.753,2016-01-04 11:13:01.753,
Application_2108937169,O_Sent (mail and online),User_19,2016-01-04 11:15:24.159,2016-01-04 11:15:24.159,
Application_2108937169,A_Complete,User_19,2016-01-04 11:15:24.187,2016-01-04 11:15:24.187,
Application_1128910355,A_Create Application,User_89,2016-01-04 11:38:47.611,2016-01-04 11:38:47.611,
Application_1128910355,A_Concept,User_89,2016-01-04 11:38:47.618,2016-01-04 11:38:47.618,
Application_1128910355,W_Complete application,User_89,2016-01-04 11:38:47.631,2016-01-04 11:58:03.339,
Application_1128910355,A_Accepted,User_89,2016-01-04 11:47:13.012,2016-01-04 11:47:13.012,
Application_1128910355,O_Create Offer,User_89,2016-01-04 11:54:50.561,2016-01-04 11:54:50.561,
Application_1128910355,O_Created,User_89,2016-01-04 11:54:51.863,2016-01-04 11:54:51.863,
Application_1405679737,W_Complete application,User_11,2016-01-04 11:56:29.120,2016-01-04 18:54:14.651,
Application_1128910355,O_Sent (mail and online),User_89,2016-01-04 11:58:03.305,2016-01-04 11:58:03.305,
Application_1128910355,A_Complete,User_89,2016-01-04 11:58:03.361,2016-01-04 11:58:03.361,
Application_106973225,A_Create Application,User_1,2016-01-04 12:18:36.651,2016-01-04 12:18:36.651,
Application_106973225,A_Submitted,User_1,2016-01-04 12:18:36.683,2016-01-04 12:18:36.683,
Application_106973225,A_Concept,User_1,2016-01-04 12:20:08.393,2016-01-04 12:20:08.393,
Application_1405679737,A_Accepted,User_38,2016-01-04 12:31:06.536,2016-01-04 12:31:06.536,
Application_1754646859,A_Accepted,User_38,2016-01-04 13:01:07.735,2016-01-04 13:01:07.735,
Application_1754646859,O_Create Offer,User_38,2016-01-04 13:06:34.911,2016-01-04 13:06:34.911,
Application_1754646859,O_Created,User_38,2016-01-04 13:06:36.465,2016-01-04 13:06:36.465,
Application_1754646859,O_Sent (mail and online),User_38,2016-01-04 13:06:50.227,2016-01-04 13:06:50.227,
Application_1754646859,A_Complete,User_38,2016-01-04 13:06:50.281,2016-01-04 13:06:50.281,
Application_1068218912,A_Create Application,User_1,2016-01-04 13:51:45.303,2016-01-04 13:51:45.303,
Application_1068218912,A_Submitted,User_1,2016-01-04 13:51:45.409,2016-01-04 13:51:45.409,
Application_1068218912,A_Concept,User_1,2016-01-04 13:53:32.446,2016-01-04 13:53:32.446,
