caseid,activity,resource,ts
Application_652823628,A_Create Application,User_1,2016-01-01 10:51:15.304
Application_652823628,A_Submitted,User_1,2016-01-01 10:51:15.352
Application_652823628,W_Handle leads,User_1,2016-01-01 10:51:15.774
Application_652823628,W_Handle leads,User_1,2016-01-01 10:52:36.392
Application_652823628,W_Complete application,User_1,2016-01-01 10:52:36.403
Application_652823628,A_Concept,User_1,2016-01-01 10:52:36.413
Application_1691306052,A_Create Application,User_1,2016-01-01 11:16:11.500
Application_1691306052,A_Submitted,User_1,2016-01-01 11:16:11.549
Application_1691306052,W_Handle leads,User_1,2016-01-01 11:16:11.740
Application_1691306052,W_Handle leads,User_1,2016-01-01 11:17:31.573
Application_1691306052,W_Complete application,User_1,2016-01-01 11:17:31.584
Application_1691306052,A_Concept,User_1,2016-01-01 11:17:31.594
Application_428409768,A_Create Application,User_1,2016-01-01 12:19:38.177
Application_428409768,A_Submitted,User_1,2016-01-01 12:19:38.235
Application_428409768,W_Handle leads,User_1,2016-01-01 12:19:38.914
Application_428409768,W_Handle leads,User_1,2016-01-01 12:20:37.391
Application_428409768,W_Complete application,User_1,2016-01-01 12:20:37.409
Application_428409768,A_Concept,User_1,2016-01-01 12:20:37.422
Application_1266995739,A_Create Application,User_1,2016-01-01 14:22:19.758
Application_1266995739,A_Submitted,User_1,2016-01-01 14:22:19.796
Application_1266995739,W_Handle leads,User_1,2016-01-01 14:22:19.977
Application_1266995739,W_Handle leads,User_1,2016-01-01 14:23:29.483
Application_1266995739,W_Complete application,User_1,2016-01-01 14:23:29.499
Application_1266995739,A_Concept,User_1,2016-01-01 14:23:29.511
Application_1878239836,A_Create Application,User_1,2016-01-01 14:35:26.422
Application_1878239836,A_Submitted,User_1,2016-01-01 14:35:26.463
Application_1878239836,W_Handle leads,User_1,2016-01-01 14:35:26.664
Application_1878239836,W_Handle leads,User_1,2016-01-01 14:36:30.982
Application_1878239836,W_Complete application,User_1,2016-01-01 14:36:30.993
Application_1878239836,A_Concept,User_1,2016-01-01 14:36:31.003
Application_1120819670,A_Create Application,User_1,2016-01-01 17:22:50.533
Application_1120819670,A_Submitted,User_1,2016-01-01 17:22:50.567
Application_1120819670,W_Handle leads,User_1,2016-01-01 17:22:50.932
Application_1120819670,W_Handle leads,User_1,2016-01-01 17:23:36.074
Application_1120819670,W_Complete application,User_1,2016-01-01 17:23:36.085
Application_1120819670,A_Concept,User_1,2016-01-01 17:23:36.096
Application_180547487,A_Create Application,User_1,2016-01-01 18:04:16.739
Application_180547487,A_Submitted,User_1,2016-01-01 18:04:16.773
Application_180547487,W_Handle leads,User_1,2016-01-01 18:04:16.957
Application_180547487,W_Handle leads,User_1,2016-01-01 18:05:29.607
Application_180547487,W_Complete application,User_1,2016-01-01 18:05:29.632
Application_180547487,A_Concept,User_1,2016-01-01 18:05:29.642
Application_1806387393,A_Create Application,User_1,2016-01-01 18:58:26.178
Application_1806387393,A_Submitted,User_1,2016-01-01 18:58:26.216
Application_1806387393,W_Handle leads,User_1,2016-01-01 18:58:26.524
Application_1111870538,A_Create Application,User_1,2016-01-01 20:13:17.386
Application_1111870538,A_Submitted,User_1,2016-01-01 20:13:17.442
Application_1111870538,W_Handle leads,User_1,2016-01-01 20:13:17.750
Application_1111870538,W_Handle leads,User_1,2016-01-01 20:13:53.205
Application_1111870538,W_Complete application,User_1,2016-01-01 20:13:53.215
Application_1111870538,A_Concept,User_1,2016-01-01 20:13:53.224
Application_2082119944,A_Create Application,User_1,2016-01-01 22:14:25.752
Application_2082119944,A_Submitted,User_1,2016-01-01 22:14:25.796
Application_2082119944,W_Handle leads,User_1,2016-01-01 22:14:26.166
