caseid,activity,resource,ts
Application_842511489,A_Create Application,User_3,2016-01-02 13:35:04.926
Application_842511489,A_Concept,User_3,2016-01-02 13:35:04.928
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.935
Application_842511489,W_Complete application,User_3,2016-01-02 13:35:04.937
Application_842511489,A_Accepted,User_3,2016-01-02 13:36:27.206
Application_842511489,W_Complete application,User_3,2016-01-02 13:36:42.180
Application_2035768049,A_Create Application,User_52,2016-01-02 14:07:12.386
Application_2035768049,A_Concept,User_52,2016-01-02 14:07:12.389
Application_2035768049,W_Complete application,User_52,2016-01-02 14:07:12.395
Application_2035768049,W_Complete application,User_28,2016-01-02 14:07:12.397
Application_2035768049,W_Complete application,User_52,2016-01-02 14:10:09.377
Application_842511489,W_Complete application,User_15,2016-01-04 10:10:57.239
Application_2035768049,W_Complete application,User_16,2016-01-04 10:13:04.351
Application_842511489,W_Complete application,User_15,2016-01-04 10:13:16.191
Application_2035768049,W_Complete application,User_16,2016-01-04 10:13:36.721
Application_842511489,O_Create Offer,User_16,2016-01-04 10:17:58.657
Application_842511489,O_Created,User_16,2016-01-04 10:17:59.908
Application_842511489,O_Sent (mail and online),User_16,2016-01-04 10:18:35.535
Application_842511489,W_Complete application,User_16,2016-01-04 10:18:35.559
Application_842511489,W_Call after offers,User_16,2016-01-04 10:18:35.568
Application_842511489,W_Call after offers,User_16,2016-01-04 10:18:35.571
Application_842511489,A_Complete,User_16,2016-01-04 10:18:35.574
Application_2035768049,W_Complete application,User_28,2016-01-04 10:19:12.118
Application_842511489,W_Call after offers,User_16,2016-01-04 10:19:28.505
Application_2035768049,A_Accepted,User_28,2016-01-04 10:24:30.112
Application_2035768049,O_Create Offer,User_28,2016-01-04 10:25:40.512
Application_2035768049,O_Created,User_28,2016-01-04 10:25:41.799
Application_2035768049,O_Sent (mail and online),User_28,2016-01-04 10:25:52.775
Application_2035768049,W_Call after offers,User_28,2016-01-04 10:25:52.944
Application_2035768049,W_Call after offers,User_28,2016-01-04 10:25:52.948
Application_2035768049,A_Complete,User_28,2016-01-04 10:25:52.952
Application_2035768049,W_Call after offers,User_28,2016-01-04 10:26:59.106
Application_1428307326,A_Create Application,User_20,2016-01-04 19:43:26.266
Application_1428307326,A_Concept,User_20,2016-01-04 19:43:26.268
Application_1428307326,W_Complete application,User_20,2016-01-04 19:43:26.273
Application_1428307326,W_Complete application,User_20,2016-01-04 19:43:26.275
Application_1428307326,W_Complete application,User_20,2016-01-04 19:44:53.864
Application_1141114991,A_Create Application,User_43,2016-01-04 19:47:14.135
Application_1141114991,W_Complete application,User_43,2016-01-04 19:47:14.141
Application_1141114991,W_Complete application,User_43,2016-01-04 19:47:14.144
Application_1141114991,A_Concept,User_43,2016-01-04 19:47:14.146
Application_1141114991,A_Accepted,User_43,2016-01-04 20:02:01.470
Application_1141114991,O_Create Offer,User_43,2016-01-04 20:03:57.603
Application_1141114991,O_Created,User_43,2016-01-04 20:03:59.231
Application_1141114991,O_Sent (mail and online),User_43,2016-01-04 20:28:32.566
Application_1141114991,W_Call after offers,User_43,2016-01-04 20:28:32.616
Application_1141114991,W_Call after offers,User_43,2016-01-04 20:28:32.635
Application_1141114991,A_Complete,User_43,2016-01-04 20:28:32.639
Application_1141114991,W_Call after offers,User_43,2016-01-04 20:31:56.587
Application_1428307326,W_Complete application,User_71,2016-01-05 16:49:58.412
Application_1428307326,W_Complete application,User_71,2016-01-05 16:54:20.017
Application_1428307326,A_Accepted,User_71,2016-01-05 18:58:53.978
Application_1428307326,O_Create Offer,User_71,2016-01-05 19:00:16.655
Application_1428307326,O_Created,User_71,2016-01-05 19:00:17.923
