caseid,activity,resource,ts
Application_1691306052,A_Create Application,User_1,2016-01-01 11:16:11.500
Application_1691306052,A_Submitted,User_1,2016-01-01 11:16:11.549
Application_1691306052,W_Handle leads,User_1,2016-01-01 11:16:11.740
Application_1691306052,W_Handle leads,User_1,2016-01-01 11:17:31.573
Application_1691306052,W_Complete application,User_1,2016-01-01 11:17:31.584
Application_1691306052,A_Concept,User_1,2016-01-01 11:17:31.594
Application_1266995739,A_Create Application,User_1,2016-01-01 14:22:19.758
Application_1266995739,A_Submitted,User_1,2016-01-01 14:22:19.796
Application_1266995739,W_Handle leads,User_1,2016-01-01 14:22:19.977
Application_1266995739,W_Handle leads,User_1,2016-01-01 14:23:29.483
Application_1266995739,W_Complete application,User_1,2016-01-01 14:23:29.499
Application_1266995739,A_Concept,User_1,2016-01-01 14:23:29.511
Application_1878239836,A_Create Application,User_1,2016-01-01 14:35:26.422
Application_1878239836,A_Submitted,User_1,2016-01-01 14:35:26.463
Application_1878239836,W_Handle leads,User_1,2016-01-01 14:35:26.664
Application_1878239836,W_Handle leads,User_1,2016-01-01 14:36:30.982
Application_1878239836,W_Complete application,User_1,2016-01-01 14:36:30.993
Application_1878239836,A_Concept,User_1,2016-01-01 14:36:31.003
Application_1120819670,A_Create Application,User_1,2016-01-01 17:22:50.533
Application_1120819670,A_Submitted,User_1,2016-01-01 17:22:50.567
Application_1120819670,W_Handle leads,User_1,2016-01-01 17:22:50.932
Application_1120819670,W_Handle leads,User_1,2016-01-01 17:23:36.074
Application_1120819670,W_Complete application,User_1,2016-01-01 17:23:36.085
Application_1120819670,A_Concept,User_1,2016-01-01 17:23:36.096
Application_180547487,A_Create Application,User_1,2016-01-01 18:04:16.739
Application_180547487,A_Submitted,User_1,2016-01-01 18:04:16.773
Application_180547487,W_Handle leads,User_1,2016-01-01 18:04:16.957
Application_180547487,W_Handle leads,User_1,2016-01-01 18:05:29.607
Application_180547487,W_Complete application,User_1,2016-01-01 18:05:29.632
Application_180547487,A_Concept,User_1,2016-01-01 18:05:29.642
Application_1806387393,A_Create Application,User_1,2016-01-01 18:58:26.178
