Case ID,Activity,Complete Timestamp,Variant,Variant index,lifecycle:transition,noise
0,Start,2017-09-15 14:46:25.000,Variant 27,27,Start,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 27,27,complete,
0,Check  application  form completeness,2017-09-15 15:43:48.785,Variant 27,27,complete,
0,Return application back to applicant,2017-09-15 17:08:46.890,Variant 27,27,complete,
0,Receive updated application,2017-09-15 17:40:55.076,Variant 27,27,complete,
0,Check  application  form completeness,2017-09-15 18:45:15.781,Variant 27,27,complete,
0,Check credit history,2017-09-15 19:44:07.482,Variant 27,27,complete,
0,Assess loan risk,2017-09-15 21:06:09.920,Variant 27,27,complete,
0,Appraise property,2017-09-15 22:03:27.522,Variant 27,27,complete,
0,Assess eligibility,2017-09-15 22:46:10.531,Variant 27,27,complete,
0,Check if home insurance quote is requested,2017-09-16 00:00:53.652,Variant 27,27,complete,
0,Send home insurance quote,2017-09-16 00:23:38.141,Variant 27,27,complete,
0,Verify repayment agreement,2017-09-16 00:30:13.159,Variant 27,27,complete,
0,Approve application,2017-09-16 02:53:13.448,Variant 27,27,complete,
0,end_event_Loan  application approved,2017-09-16 03:56:12.881,Variant 27,27,complete,
0,End,2017-09-16 03:56:12.881,Variant 27,27,End,End
1,Start,2017-09-15 15:53:05.997,Variant 41,41,Start,Start
1,start_event_Loan  application received,2017-09-15 15:53:05.997,Variant 41,41,complete,
1,Check  application  form completeness,2017-09-15 16:19:58.094,Variant 41,41,complete,
1,Return application back to applicant,2017-09-15 17:13:04.617,Variant 41,41,complete,
1,Receive updated application,2017-09-15 17:44:05.130,Variant 41,41,complete,
1,Check  application  form completeness,2017-09-15 18:56:44.880,Variant 41,41,complete,
1,Return application back to applicant,2017-09-15 20:10:56.926,Variant 41,41,complete,
1,Receive updated application,2017-09-15 20:19:03.645,Variant 41,41,complete,
1,Check  application  form completeness,2017-09-15 20:51:02.230,Variant 41,41,complete,
1,Return application back to applicant,2017-09-16 01:20:04.597,Variant 41,41,complete,
1,Receive updated application,2017-09-16 01:58:36.775,Variant 41,41,complete,
1,Check  application  form completeness,2017-09-16 03:12:49.552,Variant 41,41,complete,
1,Appraise property,2017-09-16 05:07:56.336,Variant 41,41,complete,
1,Check credit history,2017-09-16 05:41:10.514,Variant 41,41,complete,
1,Assess loan risk,2017-09-16 05:44:34.492,Variant 41,41,complete,
1,Assess eligibility,2017-09-16 06:02:00.309,Variant 41,41,complete,
1,Check if home insurance quote is requested,2017-09-16 06:28:38.540,Variant 41,41,complete,
1,Send home insurance quote,2017-09-16 09:10:46.542,Variant 41,41,complete,
