Case ID,Activity,Complete Timestamp,Variant,Variant index
0,Start,2017-09-15 14:46:25.000,Variant 22,22
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 22,22
0,Check  application  form completeness,2017-09-15 18:57:39.485,Variant 22,22
0,Check credit history,2017-09-15 19:20:35.446,Variant 22,22
0,Assess loan risk,2017-09-15 21:19:32.057,Variant 22,22
0,Appraise property,2017-09-15 22:38:37.092,Variant 22,22
0,Assess eligibility,2017-09-15 23:51:29.079,Variant 22,22
0,Check if home insurance quote is requested,2017-09-16 00:01:02.212,Variant 22,22
0,Send acceptance pack,2017-09-16 02:46:43.813,Variant 22,22
0,Verify repayment agreement,2017-09-16 03:34:30.292,Variant 22,22
0,Approve application,2017-09-16 03:56:19.241,Variant 22,22
0,end_event_Loan  application approved,2017-09-16 04:26:52.375,Variant 22,22
0,End,2017-09-16 04:26:52.375,Variant 22,22
1,Start,2017-09-17 13:56:19.751,Variant 38,38
1,start_event_Loan  application received,2017-09-17 13:56:19.751,Variant 38,38
1,Check  application  form completeness,2017-09-17 14:01:23.792,Variant 38,38
1,Check credit history,2017-09-17 14:47:09.921,Variant 38,38
1,Assess loan risk,2017-09-17 15:23:49.671,Variant 38,38
1,Appraise property,2017-09-17 15:51:18.622,Variant 38,38
1,Assess eligibility,2017-09-17 15:58:13.211,Variant 38,38
1,Check if home insurance quote is requested,2017-09-17 16:22:20.950,Variant 38,38
1,Send home insurance quote,2017-09-17 17:58:12.099,Variant 38,38
1,Verify repayment agreement,2017-09-17 18:07:13.576,Variant 38,38
1,Approve application,2017-09-17 19:54:42.906,Variant 38,38
1,end_event_Loan  application approved,2017-09-17 20:28:32.480,Variant 38,38
1,Approve application,2017-09-17 20:28:32.480,Variant 38,38
1,End,2017-09-17 20:28:32.480,Variant 38,38
2,Start,2017-09-17 18:12:42.548,Variant 39,39
2,start_event_Loan  application received,2017-09-17 18:12:42.548,Variant 39,39
2,Check  application  form completeness,2017-09-17 18:13:56.665,Variant 39,39
2,Return application back to applicant,2017-09-17 18:37:10.583,Variant 39,39
2,Assess loan risk,2017-09-17 18:37:10.583,Variant 39,39
2,Receive updated application,2017-09-17 19:56:40.155,Variant 39,39
2,Check  application  form completeness,2017-09-17 20:00:41.513,Variant 39,39
2,Return application back to applicant,2017-09-17 20:01:47.563,Variant 39,39
2,Receive updated application,2017-09-17 23:20:28.165,Variant 39,39
2,Check  application  form completeness,2017-09-18 00:07:43.671,Variant 39,39
