Case ID,Activity,Complete Timestamp,Variant,Variant index,lifecycle:transition
0,Start,2017-09-15 14:46:25.000,Variant 29,29,Start
0,Start,2017-09-15 14:46:25.000,Variant 29,29,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 29,29,complete
0,Check  application  form completeness,2017-09-15 15:03:51.907,Variant 29,29,complete
0,Return application back to applicant,2017-09-15 15:52:40.593,Variant 29,29,complete
0,Receive updated application,2017-09-15 17:58:15.934,Variant 29,29,complete
0,Check  application  form completeness,2017-09-15 19:05:43.103,Variant 29,29,complete
0,Return application back to applicant,2017-09-15 19:35:48.552,Variant 29,29,complete
0,Receive updated application,2017-09-15 22:24:42.870,Variant 29,29,complete
0,Check  application  form completeness,2017-09-15 22:24:49.483,Variant 29,29,complete
0,Appraise property,2017-09-16 01:38:51.234,Variant 29,29,complete
0,Check credit history,2017-09-16 01:55:14.784,Variant 29,29,complete
0,Assess loan risk,2017-09-16 04:28:56.041,Variant 29,29,complete
0,Assess eligibility,2017-09-16 04:43:56.197,Variant 29,29,complete
0,Check if home insurance quote is requested,2017-09-16 05:08:20.978,Variant 29,29,complete
0,Send home insurance quote,2017-09-16 06:11:37.061,Variant 29,29,complete
0,Verify repayment agreement,2017-09-16 06:37:29.048,Variant 29,29,complete
0,Cancel application,2017-09-16 07:33:02.670,Variant 29,29,complete
0,end_event_Loan  application canceled,2017-09-16 08:28:17.162,Variant 29,29,complete
0,End,2017-09-16 08:28:17.162,Variant 29,29,End
1,Start,2017-09-17 07:29:33.562,Variant 35,35,Start
1,Start,2017-09-17 07:29:33.562,Variant 35,35,Start
1,start_event_Loan  application received,2017-09-17 07:29:33.562,Variant 35,35,complete
1,Check  application  form completeness,2017-09-17 08:10:21.790,Variant 35,35,complete
1,Return application back to applicant,2017-09-17 08:50:31.282,Variant 35,35,complete
1,Receive updated application,2017-09-17 09:28:19.101,Variant 35,35,complete
1,Check  application  form completeness,2017-09-17 09:38:19.908,Variant 35,35,complete
1,Return application back to applicant,2017-09-17 11:24:24.196,Variant 35,35,complete
1,Receive updated application,2017-09-17 11:42:08.336,Variant 35,35,complete
1,Check  application  form completeness,2017-09-17 11:57:04.281,Variant 35,35,complete
1,Return application back to applicant,2017-09-17 13:30:22.929,Variant 35,35,complete
1,Receive updated application,2017-09-17 14:02:45.159,Variant 35,35,complete
1,Check  application  form completeness,2017-09-17 15:36:35.804,Variant 35,35,complete
1,Return application back to applicant,2017-09-17 15:41:28.221,Variant 35,35,complete
1,Receive updated application,2017-09-17 18:08:25.172,Variant 35,35,complete
1,Check  application  form completeness,2017-09-17 18:32:52.984,Variant 35,35,complete
1,Appraise property,2017-09-17 19:25:42.587,Variant 35,35,complete
1,Check credit history,2017-09-17 19:57:35.289,Variant 35,35,complete
1,Assess loan risk,2017-09-17 20:27:58.057,Variant 35,35,complete
1,Assess eligibility,2017-09-17 21:33:41.033,Variant 35,35,complete
1,Check if home insurance quote is requested,2017-09-17 21:37:50.533,Variant 35,35,complete
1,Send home insurance quote,2017-09-17 22:02:45.019,Variant 35,35,complete
1,Verify repayment agreement,2017-09-17 22:31:50.363,Variant 35,35,complete
