Case ID,Activity,Complete Timestamp,Variant,Variant index,lifecycle:transition,noise
0,Start,2017-09-15 14:46:25.000,Variant 17,17,Start,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 17,17,complete,
0,Check  application  form completeness,2017-09-15 15:14:23.349,Variant 17,17,complete,
0,Send acceptance pack,2017-09-15 15:14:23.349,Variant 17,17,,true
0,Appraise property,2017-09-15 17:15:52.828,Variant 17,17,complete,
0,Check credit history,2017-09-15 20:34:38.304,Variant 17,17,complete,
0,Assess loan risk,2017-09-15 23:14:12.213,Variant 17,17,complete,
0,Assess eligibility,2017-09-15 23:25:33.488,Variant 17,17,complete,
0,Reject application,2017-09-16 00:40:31.029,Variant 17,17,complete,
0,end_event_Loan application rejected,2017-09-16 00:43:53.391,Variant 17,17,complete,
0,End,2017-09-16 00:43:53.391,Variant 17,17,End,End
1,Start,2017-09-16 00:43:53.391,Variant 18,18,Start,Start
1,Check  application  form completeness,2017-09-16 00:43:53.391,Variant 18,18,,true
1,start_event_Loan  application received,2017-09-16 16:55:30.692,Variant 18,18,complete,
1,Check  application  form completeness,2017-09-16 18:06:10.189,Variant 18,18,complete,
1,Return application back to applicant,2017-09-16 18:38:29.085,Variant 18,18,complete,
1,Receive updated application,2017-09-16 18:51:19.016,Variant 18,18,complete,
1,Check  application  form completeness,2017-09-16 21:58:19.408,Variant 18,18,complete,
1,Appraise property,2017-09-16 23:30:39.391,Variant 18,18,complete,
1,Check credit history,2017-09-17 01:20:35.575,Variant 18,18,complete,
1,Assess loan risk,2017-09-17 01:22:23.801,Variant 18,18,complete,
1,Assess eligibility,2017-09-17 02:20:56.582,Variant 18,18,complete,
1,Reject application,2017-09-17 02:27:22.683,Variant 18,18,complete,
1,end_event_Loan application rejected,2017-09-17 02:32:43.884,Variant 18,18,complete,
1,End,2017-09-17 02:32:43.884,Variant 18,18,End,End
2,Start,2017-09-17 01:17:29.228,Variant 19,19,Start,Start
2,start_event_Loan  application received,2017-09-17 01:17:29.228,Variant 19,19,complete,
2,Verify repayment agreement,2017-09-17 01:17:29.228,Variant 19,19,,true
2,Check  application  form completeness,2017-09-17 02:22:24.059,Variant 19,19,complete,
2,Check credit history,2017-09-17 03:11:57.848,Variant 19,19,complete,
2,Appraise property,2017-09-17 05:29:05.454,Variant 19,19,complete,
2,Assess loan risk,2017-09-17 09:01:05.717,Variant 19,19,complete,
2,Verify repayment agreement,2017-09-17 09:01:05.717,Variant 19,19,,true
2,Assess eligibility,2017-09-17 10:38:04.576,Variant 19,19,complete,
2,Reject application,2017-09-17 11:52:11.410,Variant 19,19,complete,
2,end_event_Loan application rejected,2017-09-17 12:23:53.246,Variant 19,19,complete,
2,End,2017-09-17 12:23:53.246,Variant 19,19,End,End
3,Start,2017-09-17 04:59:51.658,Variant 20,20,Start,Start
3,start_event_Loan  application received,2017-09-17 04:59:51.658,Variant 20,20,complete,
